group	id	label	query	unit	target_skus	min_skus	include_tokens	exclude_tokens
 drinks	filter_coffee	Filtre kahve	filtre kahve	mass	24	6	filtre,kahve	
 drinks	cola	Kola	kola	volume	30	8	kola	
 drinks	fruit_juice	Meyve suyu	meyve suyu	volume	30	8	meyve,suyu	
 drinks	iced_tea	Soğuk çay	soğuk çay	volume	24	6	soğuk,çay	
 drinks	mineral_water	Maden suyu	maden suyu	volume	24	6	maden,suyu	
 drinks	water	İçme suyu	su 1.5 litre	volume	24	6	su	maden
 drinks	energy_drink	Enerji içeceği	enerji içeceği	volume	22	6	enerji	
 drinks	soda	Gazoz	gazoz	volume	22	6	gazoz	
household_cleaning	dish_liquid	Elde bulaşık deterjanı	bulaşık deterjanı sıvı	volume	28	7	bulaşık	makine,tablet
household_cleaning	dishwasher_tabs	Bulaşık makinesi tableti	bulaşık makinesi tableti	count	28	7	bulaşık,tablet	
household_cleaning	laundry_powder	Toz çamaşır deterjanı	toz çamaşır deterjanı	mass	28	7	çamaşır,deterjan	sıvı
household_cleaning	laundry_liquid	Sıvı çamaşır deterjanı	sıvı çamaşır deterjanı	volume	28	7	çamaşır,deterjan	toz
household_cleaning	softener	Yumuşatıcı	çamaşır yumuşatıcı	volume	26	7	yumuşatıcı	
household_cleaning	bleach	Çamaşır suyu	çamaşır suyu	volume	24	6	çamaşır,suyu	
household_cleaning	surface_cleaner	Yüzey temizleyici	yüzey temizleyici	volume	26	7	yüzey	
household_cleaning	garbage_bags	Çöp torbası	çöp torbası	count	24	6	çöp,torba	
household_cleaning	sponge	Bulaşık süngeri	bulaşık süngeri	count	20	5	sünger	
household_cleaning	cleaning_cloth	Temizlik bezi	temizlik bezi	count	20	5	bez	ıslak,mendil
personal_paper	shampoo	Şampuan	şampuan	volume	32	8	şampuan	saç kremi,serum
personal_paper	shower_gel	Duş jeli	duş jeli	volume	28	7	duş,jel	
personal_paper	soap_liquid	Sıvı sabun	sıvı sabun	volume	28	7	sıvı,sabun	
personal_paper	soap_bar	Kalıp sabun	katı sabun	mass	24	6	sabun	sıvı
personal_paper	toothpaste	Diş macunu	diş macunu	volume	28	7	diş,macunu	
personal_paper	toothbrush	Diş fırçası	diş fırçası	count	24	6	diş,fırça	
personal_paper	deodorant	Deodorant	deodorant	volume	28	7	deodorant	
personal_paper	toilet_paper	Tuvalet kağıdı	tuvalet kağıdı	count	30	8	tuvalet,kağıdı	
personal_paper	paper_towel	Kağıt havlu	kağıt havlu	count	28	7	kağıt,havlu	
personal_paper	wet_wipes	Islak mendil	ıslak mendil	count	26	7	ıslak,mendil	
personal_paper	tissues	Kağıt mendil	kağıt mendil	count	22	6	mendil	ıslak
