group	id	label	query	include_tokens	min_match	exclude_tokens	preferred_tokens
other_food	kuru_maya_30g	Kuru maya ~30 g	kuru maya 30 g	maya	0.5		
drinks	cay_500g	Siyah çay 500 g	siyah çay 500 g	çay,500	0.5		
drinks	turk_kahvesi_100g	Türk kahvesi 100 g	türk kahvesi 100 g	türk,kahve,100	0.67		
drinks	granul_kahve_100g	Granül kahve 100 g	granül kahve 100 g	kahve,100	0.5		granül
drinks	maden_suyu_6li	Maden suyu 6'lı	maden suyu 6 lı	maden,suyu,6	0.67		
drinks	su_1_5l	Su 1.5 L	su 1.5 litre	su,1.5	0.5		
drinks	kola_1l	Kola 1 L	kola 1 litre	kola,1	0.5		
drinks	kola_2_5l	Kola 2.5 L	kola 2.5 litre	kola,2.5	0.5		
drinks	portakal_suyu_1l	Portakal suyu 1 L	portakal suyu 1 litre	portakal,suyu,1	0.67		
drinks	seftali_meyve_suyu_1l	Şeftali meyve suyu 1 L	şeftali meyve suyu 1 litre	şeftali,suyu,1	0.67		
drinks	ice_tea_1l	Soğuk çay 1 L	soğuk çay 1 litre	çay,1	0.5		soğuk
drinks	limonata_1l	Limonata 1 L	limonata 1 litre	limonata,1	0.5		
drinks	gazoz_1l	Gazoz 1 L	gazoz 1 litre	gazoz,1	0.5		
household_cleaning	bulasik_750ml	Bulaşık deterjanı ~750 ml	bulaşık deterjanı 750 ml	bulaşık,750	0.5		
household_cleaning	camasir_toz_4kg	Toz çamaşır deterjanı ~4 kg	toz çamaşır deterjanı 4 kg	çamaşır,deterjan	0.5		toz
household_cleaning	camasir_sivi_2_5l	Sıvı çamaşır deterjanı ~2.5 L	sıvı çamaşır deterjanı 2.5 litre	çamaşır,deterjan	0.5		sıvı
household_cleaning	yumusatici_1_4l	Çamaşır yumuşatıcı ~1.4 L	çamaşır yumuşatıcı 1.4 litre	yumuşatıcı	0.5		
household_cleaning	camasir_suyu_750ml	Çamaşır suyu ~750 ml	çamaşır suyu 750 ml	çamaşır,suyu	0.5		
household_cleaning	yuzey_temizleyici_1l	Yüzey temizleyici 1 L	yüzey temizleyici 1 litre	yüzey,temiz	0.5		
household_cleaning	cam_temizleyici_500ml	Cam temizleyici 500 ml	cam temizleyici 500 ml	cam,temiz	0.5		
household_cleaning	bulasik_tableti_30	Bulaşık makinesi tableti ~30'lu	bulaşık makinesi tableti 30	bulaşık,tablet,30	0.67		
household_cleaning	cop_poseti_10	Çöp poşeti ~10'lu	çöp poşeti 10	çöp,poşet	0.5		
personal_paper	tuvalet_12	Tuvalet kağıdı 12'li	tuvalet kağıdı 12 li	tuvalet,12	0.5		
personal_paper	kagit_havlu_6	Kağıt havlu 6'lı	kağıt havlu 6 lı	kağıt,havlu,6	0.67		
personal_paper	mendil_10	Kağıt mendil 10'lu	kağıt mendil 10 lu	mendil,10	0.5		
personal_paper	sampuan_400ml	Şampuan ~400 ml	şampuan 400 ml	şampuan,400	0.5		
personal_paper	dis_macunu_75ml	Diş macunu ~75 ml	diş macunu 75 ml	diş,macunu,75	0.67		
personal_paper	sabun_4lu	Katı sabun 4'lü	katı sabun 4 lü	sabun,4	0.5		
